iter	Passed	Remaining
757	12477	3983
758	12492	3966
759	12508	3950
760	12524	3933
761	12539	3916
762	12555	3899
763	12571	3883
764	12587	3866
765	12602	3849
766	12617	3832
767	12632	3815
768	12648	3799
769	12663	3782
770	12678	3765
771	12694	3749
772	12709	3732
773	12725	3715
774	12740	3698
775	12755	3682
776	12771	3665
777	12786	3648
778	12802	3632
779	12818	3615
780	12834	3598
781	12849	3582
782	12865	3565
783	12880	3548
784	12895	3531
785	12910	3515
786	12926	3498
787	12941	3481
788	12957	3465
789	12972	3448
790	12988	3431
791	13003	3415
792	13019	3398
793	13035	3381
794	13050	3365
795	13072	3350
796	13091	3334
797	13110	3318
798	13129	3303
799	13148	3287
800	13168	3271
801	13186	3255
802	13205	3239
803	13224	3223
804	13242	3207
805	13262	3192
806	13282	3176
807	13300	3160
808	13319	3144
809	13327	3126
810	13344	3109
811	13361	3093
812	13377	3077
813	13381	3057
814	13397	3041
815	13400	3021
816	13416	3005
817	13419	2985
818	13439	2970
819	13456	2953
820	13474	2937
821	13479	2918
822	13494	2902
823	13511	2886
824	13528	2869
825	13547	2853
826	13564	2837
827	13580	2821
828	13596	2804
829	13612	2788
830	13628	2771
831	13642	2754
832	13658	2738
833	13673	2721
834	13688	2704
835	13703	2688
836	13718	2671
837	13733	2654
838	13748	2638
839	13763	2621
840	13779	2605
841	13794	2588
842	13809	2571
843	13825	2555
844	13841	2539
845	13857	2522
846	13872	2505
847	13887	2489
848	13902	2472
849	13919	2456
850	13935	2439
851	13950	2423
852	13966	2406
853	13986	2391
854	14004	2375
855	14023	2359
856	14042	2343
857	14059	2326
858	14079	2311
859	14098	2295
860	14116	2278
861	14134	2262
862	14154	2246
863	14171	2230
864	14189	2214
865	14205	2198
866	14221	2181
867	14236	2165
868	14252	2148
869	14269	2132
870	14286	2115
871	14302	2099
872	14319	2083
873	14336	2066
874	14354	2050
875	14369	2033
876	14384	2017
877	14399	2000
878	14416	1984
879	14420	1966
880	14436	1949
881	14453	1933
882	14470	1917
883	14487	1901
884	14504	1884
885	14521	1868
886	14536	1851
887	14552	1835
888	14568	1819
889	14584	1802
890	14599	1786
891	14614	1769
892	14630	1753
893	14645	1736
894	14660	1719
895	14676	1703
896	14691	1686
897	14707	1670
898	14723	1654
899	14739	1637
900	14754	1621
901	14771	1604
902	14790	1588
903	14809	1572
904	14829	1556
905	14851	1540
906	14871	1524
907	14892	1508
908	14911	1492
909	14931	1476
910	14950	1460
911	14968	1444
912	14989	1428
913	15006	1412
914	15024	1395
915	15045	1379
916	15064	1363
917	15085	1347
918	15105	1331
919	15125	1315
920	15144	1299
921	15160	1282
922	15181	1266
923	15199	1250
924	15218	1233
925	15237	1217
926	15256	1201
927	15276	1185
928	15293	1168
929	15316	1152
930	15329	1136
931	15350	1119
932	15366	1103
933	15382	1087
934	15400	1070
935	15430	1055
936	15447	1038
937	15465	1022
938	15480	1005
939	15496	989
940	15510	972
941	15525	955
942	15540	939
943	15556	922
944	15572	906
945	15587	889
946	15602	873
947	15618	856
948	15632	840
949	15648	823
950	15663	807
951	15677	790
952	15692	773
953	15709	757
954	15724	740
955	15739	724
956	15755	707
957	15771	691
958	15786	674
959	15801	658
960	15817	641
961	15832	625
962	15849	608
963	15864	592
964	15882	576
965	15897	559
966	15912	543
967	15927	526
968	15942	510
969	15958	493
970	15974	477
971	15990	460
972	16006	444
973	16023	427
974	16038	411
975	16054	394
976	16069	378
977	16084	361
978	16099	345
979	16113	328
980	16129	312
981	16149	296
982	16164	279
983	16182	263
984	16204	246
985	16224	230
986	16240	213
987	16256	197
988	16274	181
989	16288	164
990	16304	148
991	16319	131
992	16335	115
993	16350	98
994	16364	82
995	16380	65
996	16395	49
997	16410	32
998	16425	16
999	16440	0
